#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,1.0,18.825,69229.11
1.0,0.0,0.0,1.0,12.026,69241.13
1.0,1.0,1.0,1.0,9.986,69251.12
0.0,1.0,0.0,1.0,8.63,69259.75
1.0,1.0,0.0,1.0,11.968,69271.72
0.0,0.0,0.0,1.0,18.85,69290.57
0.0,1.0,1.0,1.0,10.187,69300.76
1.0,1.0,0.0,1.0,2.248,69303.01
0.0,1.0,0.0,1.0,19.21,69322.22
1.0,1.0,0.0,1.0,12.417,69334.63
0.0,0.0,0.0,1.0,19.12,69353.75
1.0,0.0,0.0,1.0,12.193,69365.945
1.0,1.0,1.0,1.0,10.156,69376.1
0.0,1.0,0.0,1.0,8.865,69384.97
1.0,1.0,0.0,1.0,12.314,69397.28
0.0,0.0,0.0,1.0,19.265,69416.55
0.0,1.0,1.0,1.0,10.172,69426.72
1.0,1.0,0.0,1.0,2.243,69428.96
0.0,1.0,0.0,1.0,19.159,69448.12
1.0,1.0,0.0,1.0,12.438,69460.555
0.0,0.0,0.0,1.0,19.077,69479.63
1.0,0.0,0.0,1.0,12.155,69491.79
1.0,1.0,1.0,1.0,10.088,69501.875
0.0,1.0,0.0,1.0,8.649,69510.52
1.0,1.0,0.0,1.0,11.999,69522.52
0.0,0.0,0.0,1.0,18.744,69541.266
0.0,1.0,1.0,1.0,9.949,69551.21
1.0,1.0,0.0,1.0,2.18,69553.39
0.0,1.0,0.0,1.0,18.726,69572.12
1.0,1.0,0.0,1.0,12.133,69584.25
0.0,0.0,0.0,1.0,18.797,69603.05
1.0,0.0,0.0,1.0,12.076,69615.125
1.0,1.0,1.0,1.0,10.046,69625.17
0.0,1.0,0.0,1.0,8.71,69633.88
1.0,1.0,0.0,1.0,12.077,69645.96
0.0,0.0,0.0,1.0,18.808,69664.766
0.0,1.0,1.0,1.0,9.907,69674.67
1.0,1.0,0.0,1.0,2.168,69676.84
0.0,1.0,0.0,1.0,18.625,69695.47
1.0,1.0,0.0,1.0,12.046,69707.516
0.0,0.0,0.0,1.0,18.472,69725.984
1.0,0.0,0.0,1.0,11.774,69737.76
1.0,1.0,1.0,1.0,9.756,69747.516
0.0,1.0,0.0,1.0,8.375,69755.89
1.0,1.0,0.0,1.0,11.632,69767.52
0.0,0.0,0.0,1.0,18.165,69785.69
0.0,1.0,1.0,1.0,9.664,69795.35
1.0,1.0,0.0,1.0,2.107,69797.46
0.0,1.0,0.0,1.0,18.157,69815.62
1.0,1.0,0.0,1.0,11.756,69827.375
0.0,0.0,0.0,1.0,18.078,69845.45
1.0,0.0,0.0,1.0,11.53,69856.984
1.0,1.0,1.0,1.0,9.587,69866.57
0.0,1.0,0.0,1.0,8.314,69874.88
MARK 007
1.0,0.0,0.0,1.0,206.295,70081.18
1.0,1.0,1.0,1.0,9.644,70090.82
0.0,1.0,0.0,1.0,8.408,70099.23
1.0,1.0,0.0,1.0,11.655,70110.88
0.0,0.0,0.0,1.0,18.247,70129.13
0.0,1.0,1.0,1.0,9.735,70138.87
1.0,1.0,0.0,1.0,2.13,70141.0
0.0,1.0,0.0,1.0,18.294,70159.3
1.0,1.0,0.0,1.0,11.839,70171.13
0.0,0.0,0.0,1.0,18.257,70189.39
1.0,0.0,0.0,1.0,11.709,70201.1
1.0,1.0,1.0,1.0,9.718,70210.82
0.0,1.0,0.0,1.0,8.347,70219.164
1.0,1.0,0.0,1.0,11.591,70230.76
0.0,0.0,0.0,1.0,18.204,70248.96
0.0,1.0,1.0,1.0,9.765,70258.73
